Fecha,Humedad_Media_Global,Temperatura_Promedio_Global,Bateria_V,Panel_Solar_V,alerta_sequedad_relativa,alerta_subida_brusca,alerta_caida_brusca,alerta_bateria_baja,alerta_panel_bajo,alerta_hueco_temporal,predic_humedad_futura,predic_sequedad_relativa,predic_bateria_baja,predic_panel_bajo,predic_hueco_temporal
2024-01-01,31.47,8.96,6.62,2.5,0,0,0,0,0,0,31.55,0,0,0,0
2024-01-02,31.42,8.79,6.63,4.01,0,0,0,0,0,0,31.55,0,0,0,0
2024-01-03,31.31,8.82,6.62,3.85,0,0,0,0,0,0,31.55,0,0,0,0
2024-01-04,31.35,9.37,6.6,2.78,0,0,0,0,0,0,31.55,0,0,0,0
2024-01-05,32.92,9.76,6.63,4.02,0,0,0,0,0,0,32.66,0,0,0,0
2024-01-06,32.79,9.35,6.63,3.91,0,0,0,0,0,0,32.66,0,0,0,0
2024-01-07,32.66,8.86,6.62,3.98,0,0,0,0,0,0,32.66,0,0,0,0
2024-01-08,32.53,8.3,6.61,3.89,0,0,0,0,0,0,32.66,0,0,0,0
2024-01-09,32.5,8.36,6.62,3.39,0,0,0,0,0,0,32.66,0,0,0,0
2024-01-10,32.54,8.78,6.63,3.63,0,0,0,0,0,0,32.66,0,0,0,0
2024-01-11,32.49,9.09,6.62,3.76,0,0,0,0,0,0,32.66,0,0,0,0
2024-01-12,32.37,9.03,6.63,3.93,0,0,0,0,0,0,32.66,0,0,0,0
2024-01-13,32.26,8.94,6.63,4.06,0,0,0,0,0,0,31.55,0,0,0,0
2024-01-14,32.19,9.0,6.64,4.12,0,0,0,0,0,0,31.55,0,0,0,0
2024-01-15,32.13,9.3,6.61,3.03,0,0,0,0,0,0,31.55,0,0,0,0
2024-01-16,32.29,9.89,6.61,3.3,0,0,0,0,0,0,32.66,0,0,0,0
2024-01-17,34.01,10.54,6.64,3.65,0,0,0,0,0,0,36.31,0,0,0,0
2024-01-18,35.93,11.36,6.63,3.42,0,0,0,0,0,0,36.31,0,0,0,0
2024-01-19,38.03,11.77,6.62,3.22,0,0,0,0,0,0,37.97,0,0,0,0
2024-01-20,38.27,11.53,6.63,4.02,0,0,0,0,0,0,37.97,0,0,0,0
2024-01-21,38.04,11.34,6.63,4.09,0,0,0,0,0,0,37.97,0,0,0,0
2024-01-22,37.88,11.01,6.63,4.08,0,0,0,0,0,0,37.97,0,0,0,0
2024-01-23,37.7,10.86,6.63,4.02,0,0,0,0,0,0,37.97,0,0,0,0
2024-01-24,37.53,10.97,6.63,3.99,0,0,0,0,0,0,37.97,0,0,0,0
2024-01-25,37.34,11.08,6.64,4.07,0,0,0,0,0,0,36.31,0,0,0,0
2024-01-26,37.14,11.21,6.64,4.11,0,0,0,0,0,0,36.31,0,0,0,0
2024-01-27,36.94,11.3,6.64,4.27,0,0,0,0,0,0,36.31,0,0,0,0
2024-01-28,36.71,11.26,6.64,4.16,0,0,0,0,0,0,36.31,0,0,0,0
2024-01-29,36.54,11.19,6.64,4.19,0,0,0,0,0,0,36.31,0,0,0,0
2024-01-30,36.39,11.09,6.64,4.22,0,0,0,0,0,0,36.31,0,0,0,0
2024-01-31,36.19,10.93,6.64,4.24,0,0,0,0,0,0,36.31,0,0,0,0
2024-02-01,35.99,10.74,6.63,4.31,0,0,0,0,0,0,36.31,0,0,0,0
2024-02-02,35.79,10.6,6.64,4.38,0,0,0,0,0,0,36.31,0,0,0,0
2024-02-03,35.58,10.53,6.64,4.35,0,0,0,0,0,0,36.31,0,0,0,0
2024-02-04,35.38,10.4,6.63,4.31,0,0,0,0,0,0,36.31,0,0,0,0
2024-02-05,35.18,10.3,6.64,4.35,0,0,0,0,0,0,36.31,0,0,0,0
2024-02-06,35.01,10.41,6.64,4.49,0,0,0,0,0,0,36.31,0,0,0,0
2024-02-07,34.88,10.84,6.65,4.18,0,0,0,0,0,0,36.31,0,0,0,0
2024-02-08,34.76,11.01,6.63,3.76,0,0,0,0,0,0,36.31,0,0,0,0
2024-02-09,41.87,11.18,6.57,3.15,0,1,0,0,0,0,42.3,0,0,0,0
2024-02-10,45.31,11.34,6.64,4.32,0,0,0,0,0,0,45.71,0,0,0,0
2024-02-11,45.36,11.21,6.64,3.94,0,0,0,0,0,0,45.71,0,0,0,0
2024-02-12,46.15,11.43,6.64,4.4,0,0,0,0,0,0,45.71,0,0,0,0
2024-02-13,46.01,12.17,6.65,4.38,0,0,0,0,0,0,45.71,0,0,0,0
2024-02-14,45.66,12.6,6.66,4.4,0,0,0,0,0,0,45.71,0,0,0,0
2024-02-15,45.46,12.82,6.64,4.02,0,0,0,0,0,0,45.71,0,0,0,0
2024-02-16,45.58,12.91,6.65,4.38,0,0,0,0,0,0,45.71,0,0,0,0
2024-02-17,45.24,12.82,6.65,4.49,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-18,44.92,12.64,6.65,4.46,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-19,44.56,12.65,6.65,4.43,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-20,44.18,12.83,6.65,4.41,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-21,43.83,12.91,6.65,4.5,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-22,43.52,13.05,6.66,4.47,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-23,43.46,12.96,6.65,4.43,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-24,43.26,12.52,6.66,4.53,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-25,43.13,12.19,6.65,4.07,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-26,43.82,12.32,6.66,4.54,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-27,43.78,11.99,6.65,4.59,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-28,43.43,11.7,6.65,4.57,0,0,0,0,0,0,43.91,0,0,0,0
2024-02-29,43.15,11.63,6.65,4.58,0,0,0,0,0,0,43.91,0,0,0,0
2024-03-01,42.87,11.65,6.65,4.63,0,0,0,0,0,0,42.3,0,0,0,0
2024-03-02,42.62,11.46,6.64,4.56,0,0,0,0,0,0,42.3,0,0,0,0
2024-03-03,42.56,11.37,6.65,4.72,0,0,0,0,0,0,42.3,0,0,0,0
2024-03-04,42.41,11.51,6.66,4.74,0,0,0,0,0,0,42.3,0,0,0,0
2024-03-05,42.24,11.72,6.66,4.64,0,0,0,0,0,0,42.3,0,0,0,0
2024-03-06,41.88,11.71,6.65,4.8,0,0,0,0,0,0,42.3,0,0,0,0
2024-03-07,42.21,11.67,6.66,4.7,0,0,0,0,0,0,42.3,0,0,0,0
2024-03-08,43.16,11.49,6.66,4.78,0,0,0,0,0,0,43.91,0,0,0,0
2024-03-09,46.49,11.49,6.64,4.04,0,0,0,0,0,0,45.71,0,0,0,0
2024-03-10,46.8,11.3,6.66,4.69,0,0,0,0,0,0,45.71,0,0,0,0
2024-03-11,46.5,11.39,6.66,4.95,0,0,0,0,0,0,45.71,0,0,0,0
2024-03-12,46.11,11.6,6.66,4.71,0,0,0,0,0,0,45.71,0,0,0,0
2024-03-13,45.7,11.9,6.67,4.95,0,0,0,0,0,0,45.71,0,0,0,0
2024-03-14,45.32,12.28,6.66,4.88,0,0,0,0,0,0,45.71,0,0,0,0
2024-03-15,44.92,12.68,6.67,4.76,0,0,0,0,0,0,43.91,0,0,0,0
2024-03-16,44.39,13.16,6.67,4.82,0,0,0,0,0,0,43.91,0,0,0,0
2024-03-17,43.87,13.69,6.68,4.87,0,0,0,0,0,0,43.91,0,0,0,0
2024-03-18,43.44,14.05,6.68,4.85,0,0,0,0,0,0,43.91,0,0,0,0
