Fecha,Humedad_Media_Global,Temperatura_Promedio_Global,Bateria_V,Panel_Solar_V,alerta_sequedad_relativa,alerta_subida_brusca,alerta_caida_brusca,alerta_bateria_baja,alerta_panel_bajo,alerta_hueco_temporal,predic_humedad_futura,predic_sequedad_relativa,predic_bateria_baja,predic_panel_bajo,predic_hueco_temporal
2024-01-01 16:00:00,31.53,9.06,6.85,10.74,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-01 17:00:00,31.5,9.08,6.82,9.25,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-01 18:00:00,31.47,9.04,6.6,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-01 19:00:00,31.47,9.0,6.58,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-01 20:00:00,31.46,8.94,6.55,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-01 21:00:00,31.46,8.89,6.54,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-01 22:00:00,31.45,8.84,6.52,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-01 23:00:00,31.45,8.8,6.52,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 00:00:00,31.46,8.76,6.51,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 01:00:00,31.45,8.72,6.51,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 02:00:00,31.45,8.7,6.51,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 03:00:00,31.45,8.66,6.51,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 04:00:00,31.45,8.61,6.5,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 05:00:00,31.44,8.57,6.5,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 06:00:00,31.45,8.53,6.49,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 07:00:00,31.44,8.48,6.49,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 08:00:00,31.44,8.45,6.5,6.75,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 09:00:00,31.43,8.41,6.6,6.91,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 10:00:00,31.45,8.4,6.82,9.77,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 11:00:00,31.45,8.43,6.83,10.43,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 12:00:00,31.46,8.51,6.84,11.04,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 13:00:00,31.46,8.69,6.84,10.83,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 14:00:00,31.46,8.91,6.84,10.66,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 15:00:00,31.46,9.13,6.84,10.66,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 16:00:00,31.43,9.25,6.84,10.65,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 17:00:00,31.41,9.26,6.82,8.63,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 18:00:00,31.38,9.23,6.61,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 19:00:00,31.35,9.18,6.57,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 20:00:00,31.34,9.12,6.55,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 21:00:00,31.34,9.06,6.55,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 22:00:00,31.34,9.01,6.53,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-02 23:00:00,31.34,8.96,6.52,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 00:00:00,31.34,8.92,6.5,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 01:00:00,31.34,8.88,6.51,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 02:00:00,31.33,8.83,6.5,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 03:00:00,31.33,8.8,6.5,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 04:00:00,31.32,8.76,6.5,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 05:00:00,31.32,8.71,6.49,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 06:00:00,31.32,8.66,6.49,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 07:00:00,31.32,8.61,6.49,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 08:00:00,31.31,8.57,6.49,6.72,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 09:00:00,31.32,8.52,6.6,6.91,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 10:00:00,31.33,8.51,6.82,10.75,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 11:00:00,31.34,8.54,6.83,11.03,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 12:00:00,31.35,8.62,6.84,10.72,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 13:00:00,31.34,8.77,6.84,10.86,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 14:00:00,31.32,8.84,6.82,9.73,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 15:00:00,31.3,8.91,6.83,10.05,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 16:00:00,31.28,8.95,6.82,8.72,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 17:00:00,31.27,8.98,6.64,6.87,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 18:00:00,31.27,9.01,6.59,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 19:00:00,31.27,9.02,6.57,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 20:00:00,31.27,9.03,6.55,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 21:00:00,31.28,9.04,6.55,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 22:00:00,31.29,9.05,6.54,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-03 23:00:00,31.29,9.08,6.54,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-04 00:00:00,31.29,9.09,6.53,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-04 01:00:00,31.28,9.1,6.53,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-04 02:00:00,31.28,9.11,6.52,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-04 03:00:00,31.28,9.14,6.52,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-04 04:00:00,31.29,9.16,6.52,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-04 05:00:00,31.3,9.17,6.52,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-04 06:00:00,31.3,9.18,6.52,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-04 07:00:00,31.29,9.22,6.52,0.0,0,0,0,0,0,0,31.19,0,0,0,0
2024-01-04 08:00:00,31.28,9.24,6.52,2.0,0,0,0,0,0,0,31.19,0,0,0,0
